檢查項目,欄位類型,說明,合格條件,不合格條件,必填
白板筆(四色)是否齊全且有墨水,布林,檢查白板筆四色是否齊全且有墨水,白板筆齊全且有墨水,白板筆缺少或無墨水,是
白板擦是否可正常擦拭乾淨,布林,檢查白板擦是否可正常擦拭乾淨,白板擦可正常擦拭,白板擦無法擦拭乾淨,是
Type C/HDMI 線是否整齊擺放並可正常使用,布林,檢查 Type C/HDMI 線是否整齊擺放並可正常使用,線材整齊且可正常使用,線材凌亂或無法使用,是
桌面/椅子是否有毀損,布林,檢查桌面和椅子是否有毀損,桌面椅子無毀損,桌面或椅子有毀損,是
空調/電燈/門是否可正常使用,布林,檢查空調、電燈、門是否可正常使用,空調電燈門可正常使用,有設備無法正常使用,是
電視是否可正常使用,布林,檢查電視是否可正常使用,電視可正常使用,電視無法正常使用,是
桌面維持乾淨無雜物/水漬,布林,檢查桌面是否乾淨無雜物或水漬,桌面乾淨,桌面有雜物或水漬,是
椅子是否符合會議室座位數量並整齊擺放,布林,檢查椅子數量是否符合且整齊擺放,椅子數量符合且整齊,椅子數量不符或擺放凌亂,是
地板是否乾淨無明顯髒污,布林,檢查地板是否乾淨無明顯髒污,地板乾淨,地板有明顯髒污,是
牆壁是否無破損或劃記,布林,檢查牆壁是否無破損或劃記,牆壁無破損或劃記,牆壁有破損或劃記,是
白板是否每日擦拭清潔,布林,檢查白板是否每日擦拭清潔,白板已擦拭清潔,白板未清潔,是
是否無雜物擺放,布林,檢查會議室是否無雜物擺放,無雜物擺放,有雜物擺放,是
其他與問題描述,簡答,記錄其他異常情況或問題描述,,-,否
