"標題","編號","滅火器類型","尺寸","位置","條碼內容","有效日期","最後檢點日期"
,"A23A1-01-1","乾粉","20型","A23FA1區","A23A1-01-1","2027/10/26",
,"A23A1-01-2","乾粉","20型","A23FA1區","A23A1-01-2","2027/10/26",
,"A23A1-02-1","乾粉","20型","A23FA1區","A23A1-02-1","2027/10/26",
,"A23A1-03-1","乾粉","20型","A23FA1區","A23A1-03-1","2027/10/26",
,"A23A2-01-1","乾粉","20型","A23FA2區","A23A2-01-1","2027/10/26",
,"A23A2-01-2","乾粉","20型","A23FA2區","A23A2-01-2","2027/10/26",
,"A23A2-02-1","乾粉","20型","A23FA2區","A23A2-02-1","2027/10/26",
,"A23A2-03-1","乾粉","20型","A23FA2區","A23A2-03-1","2027/10/26",
,"A23A3-01-1","乾粉","20型","A23FA3區","A23A3-01-1","2027/10/26",
,"A23A3-01-2","乾粉","20型","A23FA3區","A23A3-01-2","2027/10/26",
,"A23A3-02-1","乾粉","20型","A23FA3區","A23A3-02-1","2027/10/26",
,"A23A3-03-1","乾粉","20型","A23FA3區","A23A3-03-1","2027/10/26",
,"A23A3-04-1","乾粉","20型","A23FA3區","A23A3-04-1","2027/10/26",
,"A23A4-01-1","乾粉","20型","A23FA4區","A23A4-01-1","2027/10/26",
,"A23A4-01-2","乾粉","20型","A23FA4區","A23A4-01-2","2027/10/26",
,"A23A4-02-1","乾粉","20型","A23FA4區","A23A4-02-1","2027/10/26",
,"A23A4-03-1","乾粉","20型","A23FA4區","A23A4-03-1","2027/10/26",
,"A3A1-01-1","乾粉","20型","A3FA1區","A3A1-01-1","2027/10/28",
,"A3A1-02-1","乾粉","20型","A3FA1區","A3A1-02-1","2027/10/28",
,"A3A1-03-1","乾粉","20型","A3FA1區","A3A1-03-1","2027/10/28",
,"A3A1-04-1","乾粉","20型","A3FA1區","A3A1-04-1","2027/10/28",
,"A3A1-05-1","乾粉","20型","A3FA1區","A3A1-05-1","2027/10/28",
,"A3A1-06-1","乾粉","20型","A3FA1區","A3A1-06-1","2027/10/28",
,"C8C1-01-1","乾粉","20型","C8FC1區","C8C1-01-1","2027/10/28",
,"C8C1-01-2","乾粉","20型","C8FC1區","C8C1-01-2","2027/10/28",
,"C8C1-02-1","乾粉","20型","C8FC1區","C8C1-02-1","2027/10/28",
,"C8C1-03-1","乾粉","20型","C8FC1區","C8C1-03-1","2027/10/28",
,"C8C1-04-1","乾粉","20型","C8FC1區","C8C1-04-1","2027/10/28",
,"C8C1-05-1","乾粉","20型","C8FC1區","C8C1-05-1","2027/10/28",
,"C8C2-01-1","乾粉","20型","C8FC2區","C8C2-01-1","2027/10/28",
,"C8C2-01-2","乾粉","20型","C8FC2區","C8C2-01-2","2027/10/28",
,"C8C2-02-1","乾粉","20型","C8FC2區","C8C2-02-1","2027/10/28",
,"C8C2-03-1","乾粉","20型","C8FC2區","C8C2-03-1","2027/10/28",
,"C8C2-04-1","乾粉","20型","C8FC2區","C8C2-04-1","2027/10/28",
,"C8C3-01-1","乾粉","20型","C8FC3區","C8C3-01-1","2027/10/28",
,"C8C3-01-2","乾粉","20型","C8FC3區","C8C3-01-2","2027/10/28",
,"C8C3-02-1","乾粉","20型","C8FC3區","C8C3-02-1","2027/10/28",
,"C8C3-03-1","乾粉","20型","C8FC3區","C8C3-03-1","2027/10/28",
,"C8C3-04-1","乾粉","20型","C8FC3區","C8C3-04-1","2027/10/28",
,"C8C3-05-1","乾粉","20型","CF8C3區","C8C3-05-1","2027/10/28",
,"C8C3-06-1","乾粉","20型","C8FC3區","C8C3-06-1","2027/10/28",
,"C8C4-01-1","乾粉","20型","C8FC4區","C8C4-01-1","2027/10/28",
,"C8C4-01-2","乾粉","20型","C8FC4區","C8C4-01-2","2027/10/28",
,"C8C4-02-1","乾粉","20型","C8FC4區","C8C4-02-1","2027/10/28",
,"C8C4-03-1
","乾粉","20型","C8FC4區","C8C4-03-1","2027/10/28",
,"C8C4-04-1","乾粉","20型","C8FC4區","C8C4-04-1","2027/10/28",
,"C8C4-05-1","乾粉","20型","C8FC4區","C8C4-05-1","2027/10/28",
,"C8C4-06-1","乾粉","20型","C8FC4區","C8C4-06-1","2027/10/28",
,"C7C1-01-1","乾粉","20型","C7FC1區","C7C1-01-1","2027/10/28",
,"C7C1-01-2","乾粉","20型","C7FC1區","C7C1-01-2","2027/10/28",
,"C7C1-02-1","乾粉","20型","C7FC1區","C7C1-02-1","2027/10/28",
,"C7C1-03-1","乾粉","20型","C7FC1區","C7C1-03-1","2027/10/28",
,"C7C1-04-1","乾粉","20型","C7FC1區","C7C1-04-1","2027/10/28",
,"C7C3-01-1","乾粉","20型","C7FC3區","C7C3-01-1","2027/10/28",
,"C7C3-01-2","乾粉","20型","C7FC3區","C7C3-01-2","2027/10/28",
,"C7C3-02-1","乾粉","20型","C7FC3區","C7C3-02-1","2027/10/28",
,"C7C3-03-1","乾粉","20型","C7FC3區","C7C3-03-1","2027/10/28",
,"C7C3-04-1","乾粉","20型","C7FC3區","C7C3-04-1","2027/10/28",
,"C7C3-05-1","乾粉","20型","C7FC3區","C7C3-05-1","2027/10/28",
,"C7C3-06-1","乾粉","20型","C7FC3區","C7C3-06-1","2027/10/28",
,"C7C4-01-1","乾粉","20型","C7FC4區","C7C4-01-1","2027/10/28",
,"C7C4-02-1","乾粉","20型","C7FC4區","C7C4-02-1","2027/10/28",
,"C7C4-03-1","乾粉","20型","C7FC4區","C7C4-03-1","2027/10/28",
,"C7C4-04-1","乾粉","20型","C7FC4區","C7C4-04-1","2027/10/28",
,"C3C2-01-1","HFC-236","10型","C3FC2區","C3C2-01-1","NA",
,"C3C2-02-1","HFC-236","10型","C3FC2區","C3C2-02-1","NA",
,"C3C2-03-1","HFC-236","10型","C3FC2區","C3C2-03-1","NA",
,"C3C2-04-1","HFC-236","10型","C3FC2區","C3C2-04-1","NA",
,"C3C2-05-1","HFC-236","10型","C3FC2區","C3C2-05-1","NA",
,"C3C2-06-1","HFC-236","10型","C3FC2區","C3C2-06-1","NA",
,"C3C2-07-1","HFC-236","10型","C3FC2區","C3C2-07-1","NA",
,"C3C2-08-1","HFC-236","10型","C3FC2區","C3C2-08-1","NA",
,"C3C2-09-1","NAF-10","10型","C3FC2區","C3C2-09-1","NA",
,"C2C1-01-1","乾粉","20型","C2FC1區","C2C1-01-1","2027/10/28",
,"C2C1-02-1

","乾粉","20型","C2FC1區","C2C1-02-1","2027/10/28",
,"C2C1-03-1","乾粉","20型","C2FC1區","C2C1-03-1","2027/10/28",
,"C2C1-04-1","乾粉","20型","C2FC1區","C2C1-04-1","2027/10/28",
,"C2C1-05-1","乾粉","20型","C2FC1區","C2C1-05-1","2027/10/28",
,"C2QT-01-1","HFC-236","10型","C2F QT Lab","C2QT-01-1","NA",
,"C2QT-02-1","HFC-236","10型","C2F QT Lab","C2QT-02-1","NA",
,"C2WT-01-1","HFC-236","10型","C2F風洞","C2WT-01-1","NA",
,"C2TR-01-1","乾粉","20型","C2F訓練教室","C2TR-01-1","2027/10/28",
,"C2TR-02-1","乾粉","20型","C2F訓練教室","C2TR-02-1","2027/10/28",
,"C2TR-03-1","乾粉","20型","C2F訓練教室","C2TR-03-1","2027/10/28",
,"C24C1-01-1","乾粉","20型","C24FC1區","C24C1-01-1","2027/11/13",
,"C24C1-02-1","乾粉","20型","C24FC1區","C24C1-02-1","2027/11/13",
,"C24C1-03-1","乾粉","20型","C24FC1區","C24C1-03-1","2027/11/13",
,"C24C1-04-1","乾粉","20型","C24FC1區","C24C1-04-1","2027/11/13",
,"C24C2-01-1","乾粉","20型","C24FC2區","C24C2-01-1","2027/11/13",
,"C24C2-02-1","乾粉","20型","C24FC2區","C24C2-02-1","2027/11/13",
,"C24C2-03-1","乾粉","20型","C24FC2區","C24C2-03-1","2027/11/13",
,"C24C2-04-1","乾粉","20型","C24FC2區","C24C2-04-1","2027/11/13",
,"C24C2-05-1","乾粉","20型","C24FC2區","C24C2-05-1","2027/11/13",
,"B3-01-1","乾粉","20型","B3F Lab","B3-01-1","2028/04",
,"B3-01-2","乾粉","20型","B3F Lab","B3-01-2","2028/04",
,"B3-02-1","乾粉","20型","B3F Lab","B3-02-1","2026/10/06",
,"B3-03-1","乾粉","20型","B3F Lab","B3-03-1","2026/10/06",
,"B3-04-1","乾粉","20型","B3F Lab","B3-04-1","2026/10/06",
,"B3-05-1","乾粉","20型","B3F Lab","B3-05-1","2028/05",
,"B3-06-1","乾粉","20型","B3F Lab","B3-06-1","2028/04",
,"B3-07-1","乾粉","20型","B3F Lab","B3-07-1","2026/10/06",
,"B3-08-1","乾粉","20型","B3F Lab","B3-08-1","2028/05",
,"B3-09-2","乾粉","20型","B3F Lab","B3-09-2","2028/04",
,"B3-10-1","乾粉","20型","B3F Lab","B3-10-1","2028/04",
,"C26C1-01-1","乾粉","20型","C26FC1區","C26C1-01-1","2027/11/08",
,"C26C1-02-1","乾粉","20型","C26FC1區","C26C1-02-1","2027/11/08",
,"C26C1-03-1","乾粉","20型","C26FC1區","C26C1-03-1","2027/11/08",
,"C26C1-04-1","乾粉","20型","C26FC1區","C26C1-04-1","2027/11/08",
,"C26C1-05-1","乾粉","20型","C26FC1區","C26C1-05-1","2027/11/08",
,"C26C2-01-1","乾粉","20型","C26FC2區","C26C2-01-1","2027/11/08",
,"C26C2-02-1","乾粉","20型","C26FC2區","C26C2-02-1","2027/11/08",
,"C26C2-03-1","乾粉","20型","C26FC2區","C26C2-03-1","2027/11/08",
,"C26C2-04-1","乾粉","20型","C26FC2區","C26C2-04-1","2027/11/08",
,"C26C2-05-1","乾粉","20型","C26FC2區","C26C2-05-1","2028/05",
,"C26C3-01-1","乾粉","20型","C26FC3區","C26C3-01-1","2027/11/08",
,"C26C3-02-1","乾粉","20型","C26FC3區","C26C3-02-1","2027/11/15",
,"C26C3-03-1","乾粉","20型","C26FC3區","C26C3-03-1","2027/11/08",
,"C26C3-04-1","乾粉","20型","C26FC3區","C26C3-04-1","2027/11/15",
,"C26C3-05-1","乾粉","20型","C26FC3區","C26C3-05-1","2028/04",
,"C26C3-06-1","乾粉","20型","C26FC3區","C26C3-06-1","2027/11/15",
,"C26C4-01-1","乾粉","20型","C26FC4區","C26C4-01-1","2027/11/08",
,"C26C4-02-1","乾粉","20型","C26FC4區","C26C4-02-1","2027/10/23",
,"C26C4-03-1","乾粉","20型","C26FC4區","C26C4-03-1","2027/11/08",
,"C26C4-04-1","乾粉","20型","C26FC4區","C26C4-04-1","2027/11/08",
