設備ID,QR碼,長度,寬度,顏色
AUTD-A23-A1-01,4c87654e2f0de68b,7cm,2cm,白色
AUTD-A23-A2-01,a14e0b81d0d38aeb,7cm,2cm,白色
AUTD-A23-A3-01,07e065163e1412b6,7cm,2cm,白色
AUTD-A23-A4-01,0b626cb28acf466d,7cm,2cm,白色
AUTD-A3-A1-01,97323d629e0b6868,7cm,2cm,白色
AUTD-C2-C1-01,6c8ea34a2fffc9ec,7cm,2cm,白色
AUTD-C2-C1-02,582dcf95fa96d0f3,7cm,2cm,白色
AUTD-C3-C1-01,56069a6cff8cefd0,7cm,2cm,白色
AUTD-C7-C1-01,ec2e5fdf817f4e39,7cm,2cm,白色
AUTD-C7-C3-01,a90dcb200d47848e,7cm,2cm,白色
AUTD-C7-C4-01,ba6af32aeb490d25,7cm,2cm,白色
AUTD-C8-C1-01,6b4781e9fc3f45d3,7cm,2cm,白色
AUTD-C8-C2-01,abe48094d7dbd8dc,7cm,2cm,白色
AUTD-C8-C3-01,8440e0efc8ee3384,7cm,2cm,白色
AUTD-C8-C4-01,1e5e14d5b5dd67bb,7cm,2cm,白色
AUTD-C23-C1-01,961bee5dcb76f17a,7cm,2cm,白色
AUTD-C23-C2-01,9a147a6be4ce859a,7cm,2cm,白色
AUTD-C24-C1-01,24ac7a41e5274453,7cm,2cm,白色
AUTD-C24-C2-01,c43f7bc5ac9334f6,7cm,2cm,白色
AUTD-C26-C1-01,059a57d29a79522a,7cm,2cm,白色
AUTD-C26-C2-01,b03b13bbce42a085,7cm,2cm,白色
AUTD-C26-C3-01,fd38ea8018d3d689,7cm,2cm,白色
AUTD-C26-C4-01,2ada7d80ec32cd58,7cm,2cm,白色
AUTD-AB3-A1-01,895f396a409be590,7cm,2cm,白色
